,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DESCRICAO,DESCRICAO HISTORICO,CODIGO CENSUP,CODIGO EMEC,CODIGO SISTEC,CODIGO EDUCACENSO,ANO LETIVO,PERIODO LETIVO,DATA INICIO,DATA FIM,ATIVO,POSSUI ALUNO CURSANDO,CODIGO,NATUREZA PARTICIPACAO,MODALIDADE,AREA,EIXO,AREA CAPES,PERIODICIDADE,EXIGE ENADE,EXIGE COLACAO GRAU,EMITE DIPLAMA,AREA CONCENTRACAO,PROGRAMA,DIRETORIA,COORDENADOR,NUMERO PORTARIA COORDENADOR,TITULO CERTIFICADO MASCULINO,TITULO CERTIFICADO FEMININO,INCONSISTENCIAS
2402,Atividades recreativas e esportivas para crianças,Atividades recreativas e esportivas para crianças,-,-,-,-,2024,1,25/03/2024,-,Sim,Sim,AVR092,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/AVR (CEX),Elaine Aparecida Campideli Hoyos (2168045),-,Atividades recreativas e esportivas para crianças,Atividades recreativas e esportivas para crianças,
2403,Espanhol: língua e cultura (nível básico),Espanhol: língua e cultura (nível básico),-,-,-,-,2024,1,21/03/2024,-,Sim,Não,SRT095,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Andreia Dias Ianuskiewtz (1878946),-,Espanhol: língua e cultura (nível básico),Espanhol: língua e cultura (nível básico),
2404,Modelista de Roupas,Modelista de Roupas,-,-,-,-,2024,1,11/03/2024,-,Sim,Não,BRU002,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Modelista de Roupas,Modelista de Roupas,
2407,Teatro: Jogos Dramáticos,Teatro: Jogos Dramáticos,-,-,-,-,2024,1,20/03/2024,-,Sim,Não,SRQ037,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SRQ (CEX),Ana Carolina Macena Francini (2274078),-,Teatro: Jogos Dramáticos,Teatro: Jogos Dramáticos,
2408,Educação Especial e Inclusiva na Educação Básica,Educação Especial e Inclusiva na Educação Básica,-,-,-,-,2024,1,27/03/2024,-,Sim,Sim,SRQ038,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SRQ (CEX),Ana Carolina Macena Francini (2274078),-,Educação Especial e Inclusiva na Educação Básica,Educação Especial e Inclusiva na Educação Básica,
2411,e-TEC Idiomas sem Fronteiras - Inglês - Módulo I,e-TEC Idiomas sem Fronteiras - Inglês - Módulo I,-,-,-,-,2024,1,22/03/2024,-,Sim,Não,SRQ041,Semipresencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SRQ (CEX),Ana Carolina Macena Francini (2274078),-,e-TEC Idiomas sem Fronteiras - Inglês - Módulo I,e-TEC Idiomas sem Fronteiras - Inglês - Módulo I,
2414,Agente de Alimentação Escolar,Agente de Alimentação Escolar,-,-,-,-,2024,1,27/03/2024,-,Sim,Não,SRQ044,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/SRQ (CEX),Ana Carolina Macena Francini (2274078),-,Agente de Alimentação Escolar,Agente de Alimentação Escolar,
2415,Introdução à LIBRAS,Introdução à LIBRAS,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,SJP087,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Introdução à LIBRAS,Introdução à LIBRAS,
2417,Atendimento ao Cliente,Atendimento ao Cliente,-,-,-,-,2024,1,22/03/2024,-,Sim,Não,SJP089,Presencial,FIC,-,Gestão e Negócios,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Atendimento ao Cliente,Atendimento ao Cliente,
2418,Introdução à Edição de Vídeo,Introdução à Edição de Vídeo,-,-,-,-,2024,1,26/03/2024,-,Sim,Não,SJP090,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Introdução à Edição de Vídeo,Introdução à Edição de Vídeo,
2419,Desenvolvimento de aplicativos para dispositivos móveis,Desenvolvimento de aplicativos para dispositivos móveis,-,-,-,-,2024,1,28/03/2024,-,Sim,Não,SJP091,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Desenvolvimento de aplicativos para dispositivos móveis,Desenvolvimento de aplicativos para dispositivos móveis,
2420,Técnicas para confecção de Placas de Circuito Impresso (PCI),Técnicas para confecção de Placas de Circuito Impresso (PCI),-,-,-,-,2024,1,20/03/2024,-,Sim,Sim,CTD054,Presencial,FIC,-,Produção Industrial,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Técnicas para confecção de Placas de Circuito Impresso (PCI),Técnicas para confecção de Placas de Circuito Impresso (PCI),
2421,Português para hispanofalantes e refugiados,Português para hispanofalantes e refugiados,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,BRU003,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Português para hispanofalantes e refugiados,Português para hispanofalantes e refugiados,
2422,Excel - do básico ao intermediário,Excel - do básico ao intermediário,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,BRU004,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Excel - do básico ao intermediário,Excel - do básico ao intermediário,
2423,Ensino de Algoritmos e Programação Web usando PHP,Ensino de Algoritmos e Programação Web usando PHP,-,-,-,-,2024,1,25/03/2024,-,Sim,Não,BRU005,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Ensino de Algoritmos e Programação Web usando PHP,Ensino de Algoritmos e Programação Web usando PHP,
2424,Matemática para concursos públicos,Matemática para concursos públicos,-,-,-,-,2024,1,28/03/2024,-,Sim,Não,BRU006,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Matemática para concursos públicos,Matemática para concursos públicos,
2425,Instalações Elétricas Residenciais,Instalações Elétricas Residenciais,-,-,-,-,2024,1,27/03/2024,-,Sim,Não,BRU007,Presencial,FIC,-,Infraestrutura,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Instalações Elétricas Residenciais,Instalações Elétricas Residenciais,
2426,Percussão e Ritmos Brasileiros,Percussão e Ritmos Brasileiros,-,-,-,-,2024,1,27/03/2024,-,Sim,Não,PTB027,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PTB (CEX),Edna Alencar da Silva Rivera (3203637),-,Percussão e Ritmos Brasileiros,Percussão e Ritmos Brasileiros,
2427,Introdução à Filosofia,Introdução à Filosofia,-,-,-,-,2024,1,27/03/2024,-,Sim,Não,PTB028,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PTB (CEX),Edna Alencar da Silva Rivera (3203637),-,Introdução à Filosofia,Introdução à Filosofia,
2430,Costura Industrial e Modelagem do Vestuário,Costura Industrial e Modelagem do Vestuário,-,-,-,-,2024,1,02/04/2024,-,Sim,Não,HTO045,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Priscyla dos Santos Vieira (2297633),-,Costura Industrial e Modelagem do Vestuário,Costura Industrial e Modelagem do Vestuário,
2431,Informática Básica,Informática Básica,-,-,-,-,2024,1,01/04/2024,-,Sim,Não,BRU008,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Informática Básica,Informática Básica,
2432,Comandos Elétricos,Comandos Elétricos,-,-,-,-,2024,1,29/04/2024,-,Sim,Não,TUP020,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/TUP (CEX),Bruno Borges (2426976),-,Comandos Elétricos,Comandos Elétricos,
2433,Pandeiro e Técnica Percussiva na Cultura Brasileira - (Modalidade Presencial),Pandeiro e Técnica Percussiva na Cultura Brasileira - (Modalidade Presencial),-,-,-,-,2024,1,04/04/2024,-,Sim,Não,BRA025,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRA (CEX),Joao Junior Marques de Lima (1897879),-,Pandeiro e Técnica Percussiva na Cultura Brasileira - (Modalidade Presencial),Pandeiro e Técnica Percussiva na Cultura Brasileira - (Modalidade Presencial),
2434,Saúde Mental e Atenção Psicossocial na Escola,Saúde Mental e Atenção Psicossocial na Escola,-,-,-,-,2024,1,22/04/2024,-,Sim,Não,ITP034,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Saúde Mental e Atenção Psicossocial na Escola,Saúde Mental e Atenção Psicossocial na Escola,
2435,Língua Brasileira de Sinais (Libras) Básico,Língua Brasileira de Sinais (Libras) Básico,-,-,-,-,2024,2,16/08/2024,-,Sim,Não,IST005,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/IST (CEX),Marcos da Cruz Alves Siqueira (2994799),-,Língua Brasileira de Sinais (Libras) Básico,Língua Brasileira de Sinais (Libras) Básico,
2437,Trilha Formativa em Libras - Módulo I,Trilha Formativa em Libras - Módulo I,-,-,-,-,2024,2,01/08/2024,-,Sim,Não,ITQ054,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/ITQ (CEX),Gabriela Peters Goncalves Levy (2314531),-,Trilha Formativa em Libras - Módulo I,Trilha Formativa em Libras - Módulo I,
2441,Cuidadora Infantil para uma Educação Inclusiva,Cuidadora Infantil para uma Educação Inclusiva,-,-,-,-,2024,1,22/04/2024,-,Sim,Sim,SOR044,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/SOR (CEX),Andrezza Campos Moretti (2930012),"PORTARIA No 0963/IFSP, DE 05 DE FEVEREIRO DE 2024",Cuidadora Infantil para uma Educação Inclusiva,Cuidadora Infantil para uma Educação Inclusiva,
2442,Noções Básicas do Direito do Consumidor,Noções Básicas do Direito do Consumidor,-,-,-,-,2024,1,08/04/2024,-,Sim,Não,MRC001,Presencial,FIC,-,Gestão e Negócios,-,3,Não,Não,Sim,-,-,DRG/MRC (CEX),Luiz Felipe Borges Martins (1872340),-,Noções Básicas do Direito do Consumidor,Noções Básicas do Direito do Consumidor,
2444,História para o ENEM - Módulo I,História para o ENEM - Módulo I,-,-,-,-,2024,1,10/04/2024,-,Sim,Não,MRC003,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/MRC (CEX),Luiz Felipe Borges Martins (1872340),-,História para o ENEM - Módulo I,História para o ENEM - Módulo I,
2445,Português para ENEM e Vestibulares,Português para ENEM e Vestibulares,-,-,-,-,2024,1,10/04/2024,-,Sim,Não,MRC004,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/MRC (CEX),Luiz Felipe Borges Martins (1872340),-,Português para ENEM e Vestibulares,Português para ENEM e Vestibulares,
2446,Robótica na Educação Básica,Robótica na Educação Básica,-,-,-,-,2024,1,23/04/2024,-,Sim,Não,BRI031,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Robótica na Educação Básica,Robótica na Educação Básica,
2447,Esportes coletivos: princípios básicos comuns,Esportes coletivos: princípios básicos comuns,-,-,-,-,2024,1,29/04/2024,-,Sim,Não,IST006,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/IST (CEX),Marcos da Cruz Alves Siqueira (2994799),-,Esportes coletivos: princípios básicos comuns,Esportes coletivos: princípios básicos comuns,
2448,Teoria e prática de atletismo para crianças e adolescentes,Teoria e prática de atletismo para crianças e adolescentes,-,-,-,-,2024,1,29/04/2024,-,Sim,Não,IST007,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/IST (CEX),Marcos da Cruz Alves Siqueira (2994799),-,Teoria e prática de atletismo para crianças e adolescentes,Teoria e prática de atletismo para crianças e adolescentes,
2454,Introdução à Produção de Vídeo,Introdução à Produção de Vídeo,-,-,-,-,2024,1,26/03/2024,-,Sim,Não,SJP092,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Introdução à Produção de Vídeo,Introdução à Produção de Vídeo,
2455,Interpretação e Conscientização Corporal para Dança e Teatro,Interpretação e Conscientização Corporal para Dança e Teatro,-,-,-,-,2024,1,15/04/2024,-,Sim,Não,SJP093,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Interpretação e Conscientização Corporal para Dança e Teatro,Interpretação e Conscientização Corporal para Dança e Teatro,
2456,Curso de aperfeiçoamento em instalações hidráulicas domiciliares,Curso de aperfeiçoamento em instalações hidráulicas domiciliares,-,-,-,-,2024,1,22/04/2024,-,Sim,Não,SJP094,Presencial,FIC,-,Infraestrutura,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Curso de aperfeiçoamento em instalações hidráulicas domiciliares,Curso de aperfeiçoamento em instalações hidráulicas domiciliares,
2457,Digitalização Aplicada ao Setor Elétrico,Digitalização Aplicada ao Setor Elétrico,-,-,-,-,2024,1,02/04/2024,-,Sim,Não,VTP030,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/VTP (CEX),Carlos Eduardo Maia de Oliveira (1921504),-,Digitalização Aplicada ao Setor Elétrico,Digitalização Aplicada ao Setor Elétrico,
2458,Tênis de Mesa para Iniciantes,Tênis de Mesa para Iniciantes,-,-,-,-,2024,1,09/04/2024,-,Sim,Sim,CPV091,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CPV (CEX),Gustavo Baptistella Leite da Silva (2105688),-,Tênis de Mesa para Iniciantes,Tênis de Mesa para Iniciantes,
2459,Boas Práticas na Manipulação de Alimentos,Boas Práticas na Manipulação de Alimentos,-,-,-,-,2024,1,01/03/2024,-,Sim,Não,CTD055,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Boas Práticas na Manipulação de Alimentos,Boas Práticas na Manipulação de Alimentos,
2461,Curso de Libras Intermediário,Curso de Libras Intermediário,-,-,-,-,2024,1,27/03/2024,-,Sim,Não,SJP095,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Curso de Libras Intermediário,Curso de Libras Intermediário,
2462,Excel Intermediário,Excel Intermediário,-,-,-,-,2024,1,20/05/2024,-,Sim,Não,RCL004,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Francisco Cesar de Oliveira (1809288),-,Excel Intermediário,Excel Intermediário,
2463,Panificação - Nível Intermediário,Panificação - Nível Intermediário,-,-,-,-,2024,1,03/06/2024,-,Sim,Não,CTD056,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Panificação - Nível Intermediário,Panificação - Nível Intermediário,
2464,Panificação - Nível Avançado,Panificação - Nível Avançado,-,-,-,-,2024,1,01/07/2024,-,Sim,Não,CTD057,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Panificação - Nível Avançado,Panificação - Nível Avançado,
2465,Panificação - Nível Básico,Panificação - Nível Básico,-,-,-,-,2024,1,22/04/2024,-,Sim,Não,CTD058,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),-,-,Panificação - Nível Básico,Panificação - Nível Básico,
2466,Liderança e Desenvolvimento Humano,Liderança e Desenvolvimento Humano,-,-,-,-,2024,1,18/04/2024,-,Sim,Não,JND019,Presencial,FIC,-,Gestão e Negócios,-,3,Não,Não,Sim,-,-,DRG/JND (CEX),Mauro Vanderlei de Amorim (1873060),-,Liderança e Desenvolvimento Humano,Liderança e Desenvolvimento Humano,
2467,LabSol Mulheres Empreendedoras: Artesanato sustentável,LabSol Mulheres Empreendedoras: Artesanato sustentável,-,-,-,-,2024,1,15/04/2024,-,Sim,Não,BRI032,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,LabSol Mulheres Empreendedoras: Artesanato sustentável,LabSol Mulheres Empreendedoras: Artesanato sustentável,
2468,Operadora de Computador,Operadora de Computador,-,-,-,-,2024,1,08/04/2024,-,Sim,Não,SJC012,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SJC (CEX),Marcilene Cristina Gomes (1104117),-,Operadora de Computador,Operadora de Computador,
2469,Preparatório para Vestibulinho,Preparatório para Vestibulinho,-,-,-,-,2024,1,13/05/2024,-,Sim,Não,CJO075,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CJO (CEX),Ana Claudia Luciano da Silva (1181312),-,Preparatório para Vestibulinho,Preparatório para Vestibulinho,
2470,Cursinho Preparatório - Matemática,Cursinho Preparatório - Matemática,-,-,-,-,2024,1,13/05/2024,-,Sim,Não,CJO076,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CJO (CEX),Ana Claudia Luciano da Silva (1181312),-,Cursinho Preparatório - Matemática,Cursinho Preparatório - Matemática,
2471,Cursinho Preparatório - Linguagens,Cursinho Preparatório - Linguagens,-,-,-,-,2024,1,13/05/2024,-,Sim,Não,CJO077,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CJO (CEX),Ana Claudia Luciano da Silva (1181312),-,Cursinho Preparatório - Linguagens,Cursinho Preparatório - Linguagens,
2472,Arduino básico,Arduino básico,-,-,-,-,2024,1,13/05/2024,-,Sim,Não,SJP096,EaD,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Arduino básico,Arduino básico,
2473,Preparatório para o ENEM e exames vestibulares,Preparatório para o ENEM e exames vestibulares,-,-,-,-,2024,1,29/04/2024,-,Sim,Sim,ITP035,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Preparatório para o ENEM e exames vestibulares,Preparatório para o ENEM e exames vestibulares,
2474,Pequenos Reparos Elétricos,Pequenos Reparos Elétricos,-,-,-,-,2024,1,19/06/2024,-,Sim,Não,SJC013,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJC (CEX),Lenon Henrique da Costa (3354661),-,Pequenos Reparos Elétricos,Pequenos Reparos Elétricos,
2475,Sommelier de vinhos: Introdução ao mundo dos vinhos,Sommelier de vinhos: Introdução ao mundo dos vinhos,-,-,-,-,2024,1,17/06/2024,-,Sim,Sim,SMP031,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SMP (CEX),Maria Julia Alves Bedoya (1659329),-,Sommelier de vinhos: Introdução ao mundo dos vinhos,Sommelier de vinhos: Introdução ao mundo dos vinhos,
2476,Atualidade em debate: construindo o pensamento crítico sobre o mundo contemporâneo,Atualidade em debate: construindo o pensamento crítico sobre o mundo contemporâneo,-,-,-,-,2024,1,22/05/2024,-,Sim,Não,CTD059,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Atualidade em debate: construindo o pensamento crítico sobre o mundo contemporâneo,Atualidade em debate: construindo o pensamento crítico sobre o mundo contemporâneo,
2478,Curso de Voleibol,Curso de Voleibol,-,-,-,-,2024,1,25/05/2024,-,Sim,Não,SJP097,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Curso de Voleibol,Curso de Voleibol,
2479,Futsal,Futsal,-,-,-,-,2024,1,20/05/2024,-,Sim,Não,SJP098,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Futsal,Futsal,
2480,PROGRAMAÇÃO PARA CRIANÇAS E ADOLESCENTES - NÍVEL INTERMEDIÁRIO,PROGRAMAÇÃO PARA CRIANÇAS E ADOLESCENTES - NÍVEL INTERMEDIÁRIO,-,-,-,-,2024,2,16/08/2024,-,Sim,Sim,PRC0035,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PRC (CEX),Lilian Marques Pino (1736491),-,PROGRAMAÇÃO PARA CRIANÇAS E ADOLESCENTES - NÍVEL INTERMEDIÁRIO,PROGRAMAÇÃO PARA CRIANÇAS E ADOLESCENTES - NÍVEL INTERMEDIÁRIO,
2481,Inclusão Digital,Inclusão Digital,-,-,-,-,2024,1,03/06/2024,-,Sim,Não,BRU009,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/BRU (CEX),Tamyris Proenca Bonilha Garnica (2334784),-,Inclusão Digital,Inclusão Digital,
2483,Excel Básico,Excel Básico,-,-,-,-,2024,1,20/06/2024,-,Sim,Não,RCL005,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Francisco Cesar de Oliveira (1809288),-,Excel Básico,Excel Básico,
2484,Gestão da Educação para a Equidade Racial,Gestão da Educação para a Equidade Racial,-,-,-,-,2024,1,02/07/2024,-,Sim,Não,HTO047,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/HTO (CEX),Priscyla dos Santos Vieira (2297633),-,Gestão da Educação para a Equidade Racial,Gestão da Educação para a Equidade Racial,
2485,Agente de Direitos Humanos da Pessoa Idosa,Agente de Direitos Humanos da Pessoa Idosa,-,-,-,-,2024,1,15/06/2024,-,Sim,Sim,CBT010,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CBT (CEX),Gisela de Barros Alves Moura (1673031),-,Agente de Direitos Humanos da Pessoa Idosa,Agente de Direitos Humanos da Pessoa Idosa,
2487,Robótica Educacional - Módulo Básico,Robótica Educacional - Módulo Básico,-,-,-,-,2024,1,22/05/2024,-,Sim,Não,PEP023,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PEP (CEX),Renan de Jesus Almeida (3319793),-,Robótica Educacional - Módulo Básico,Robótica Educacional - Módulo Básico,
2488,Gastronomia Sustentável,Gastronomia Sustentável,-,-,-,-,2024,1,02/04/2024,-,Sim,Não,RCL006,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Marcelo Camacho de Souza (1812018),-,Gastronomia Sustentável,Gastronomia Sustentável,
2489,Futsal Feminino,Futsal Feminino,-,-,-,-,2024,1,21/05/2024,-,Sim,Não,SJP099,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Futsal Feminino,Futsal Feminino,
2490,Física para ENEM Módulo I,Física para ENEM Módulo I,-,-,-,-,2024,2,20/08/2024,-,Sim,Não,RCL007,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Eduardo Antonio Modena (278591),-,Física para ENEM Módulo I,Física para ENEM Módulo I,
2491,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 1,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 1,-,-,-,-,2024,2,20/08/2024,-,Sim,Não,RCL008,EaD,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Eduardo Antonio Modena (278591),-,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 1,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 1,
2492,Formação Esportiva,Formação Esportiva,-,-,-,-,2024,1,06/06/2024,-,Sim,Não,SJP100,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SJP (CEX),Luana Cunha Palma (1069230),-,Formação Esportiva,Formação Esportiva,
2493,Inclusão digital para a terceira idade,Inclusão digital para a terceira idade,-,-,-,-,2024,1,27/05/2024,-,Sim,Não,CTD060,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Inclusão digital para a terceira idade,Inclusão digital para a terceira idade,
2496,Sistemas de Ignição de Aeronaves,Sistemas de Ignição de Aeronaves,-,-,-,-,2024,1,17/06/2024,-,Sim,Não,SCL024,EaD,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SCL (CEX),Ricardo Arai (1884334),-,Sistemas de Ignição de Aeronaves,Sistemas de Ignição de Aeronaves,
2497,Redação para o Enem e vestibulares: Tópicos essenciais,Redação para o Enem e vestibulares: Tópicos essenciais,-,-,-,-,2024,1,21/06/2024,-,Sim,Não,AVR093,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/AVR (CEX),Elaine Aparecida Campideli Hoyos (2168045),-,Redação para o Enem e vestibulares: Tópicos essenciais,Redação para o Enem e vestibulares: Tópicos essenciais,
2498,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 4,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 4,-,-,-,-,2024,1,20/08/2024,-,Sim,Não,RCL009,EaD,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Eduardo Antonio Modena (278591),-,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 4,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 4,
2499,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 2,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 2,-,-,-,-,2024,1,20/08/2024,-,Sim,Não,RCL010,EaD,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/RCL (CEX),Eduardo Antonio Modena (278591),-,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 2,e-TEC Idiomas sem Fronteiras - Espanhol - Caderno 2,
